Topic,Structured Website(s)
Kivy (Mobile Apps),https://kivy.org/doc/stable/
Kivy (Mobile Apps),https://kivymd.readthedocs.io/
Streamlit (ML Web Apps),https://docs.streamlit.io/
Streamlit (ML Web Apps),https://github.com/daniellewisDL/streamlit-cheat-sheet
ML/AI,https://developers.google.com/machine-learning/crash-course
ML/AI,https://course.fast.ai/
HTML/CSS/JS,https://frontendmasters.com/bootcamp/
HTML/CSS/JS,https://developer.mozilla.org/
Web Dev (Advanced),https://web.dev/learn/
General Web Deployment,https://developer.mozilla.org/en-US/docs/Learn/Common_questions/Publishing_your_website
Netlify,https://docs.netlify.com/
"Vercel (React/Next.js, etc.)",https://vercel.com/docs
GitHub Pages,https://docs.github.com/en/pages
Streamlit Cloud,https://docs.streamlit.io/streamlit-community-cloud
Heroku (Fullstack),https://devcenter.heroku.com/categories/deployment
PythonAnywhere (Python only),https://help.pythonanywhere.com/pages/DeployExistingDjangoProject/
Docker (App Containerization),https://docs.docker.com/get-started/
CI/CD with GitHub Actions,https://docs.github.com/en/actions
Scikit-Learn Guide,https://scikit-learn.org/stable/user_guide.html
JavaScript Info,https://javascript.info/
